X;Y;osm_id;type;name;brand;operator;wheelchair
4.8409227;45.7574517003784;node/10008282346;bicycle;Holland Bikes Lyon 3;;;
4.8450802;45.7594830003782;node/10044356583;bicycle;Les ateliers de l'audace;;;yes
4.86761;45.7566388003786;node/10075809319;bicycle;Velograma;;;no
4.8742107;45.7501900003795;node/10101677628;shoemaker;Cordonnerie Jacques;;;
4.8361329;45.7769460003757;node/10121138111;atelier;Garance;;;
4.8361606;45.7774426003756;node/10121174412;atelier;Atelier Là-Haut;;;
4.8296589;45.7587009003783;node/10121852805;tea;Machi Machi;;;
4.8323588;45.7793393003753;node/10129682255;deli;La Ferme des Perrelles;;;
4.8327271;45.7794251003753;node/10132411724;florist;Rhizomes;;;
4.8329396;45.7795497003753;node/10132416817;shoe_repair;Cordonnier pailleron;;;
4.8186856;45.7405734003808;node/10132989105;tea;;Kusmi Tea;;yes
4.8657943;45.7567676003785;node/10159164976;frame;Bel Encadrement;;;yes
4.8645127;45.7636179003776;node/10162301442;bicycle;Cycletic Café-Vélo;;;
4.8532345;45.7342521003817;node/10178670571;painter;E.S.Concept;;;
4.8527354;45.7365632003814;node/10178670573;clockmaker;Centre Horlogerie;;;
4.8527168;45.7371880003813;node/10178671297;butcher;L'Aziza;;;
4.8570936;45.7478024003798;node/10181383129;fabric;Ursule en Ville;;;
4.8293247;45.7687870003768;node/10199566176;bicycle;Baroudeur Cycles - Le Magasin;"Surly;Joker;Omnium Cargo;Le Petit Porteur;VanMoof";;no
4.8351132;45.760898500378;node/10249993509;beverages;Mariage;Mariage Frères;;
4.8464744;45.7725969003763;node/10255675657;tailor;Alexandre;;;
4.8440923;45.7496354003795;node/1029543032;bicycle;Lyon Cycle Chic;"Brompton Bicycle;Babboe;Butchers & Bicycles;Larry vs Harry;Douze;Tern";;
4.8351777;45.767949600377;node/10575306446;bicycle;Reco Cycle;;SARL Reco Mobilité;
4.8563109;45.7640386003775;node/10587111218;dressmaker;;;;
4.8291466;45.7577564003784;node/10648606005;art;Atelier Milo;;;
4.8293093;45.7582218003783;node/10652337327;watchmaker;L'atelier horloger Lyon;;;
4.829548;45.7585441003783;node/10652848659;wine;Vins Nature Lyon 2ème - Bellecour;;Vins Nature Lyon;
4.8295172;45.7585011003783;node/10652848660;art;Krom Galerie;;;
4.816043;45.7568475003785;node/10672625305;florist;Flora Moda;;;
4.8271986;45.774683500376;node/10692763820;deli;Priscilla's Lifestyle;;;
4.8310453;45.7298445003823;node/10706992143;country_store;La Vie Claire;;;
